QuestionID,Question,Category,SubCategory
disposal_of_non_reusable_instruments,Are used non reusable instruments properly disposed?,"Facilities Supplies, Emergency ",Waste Management
colorCodedContainers,Are color-coded and/or labeled waste containers located at all point-of-care locations?,"Facilities Supplies, Emergency ",Waste Management
wasteManagementJobAids,Are job aids posted that provide segregation guidance?,"Facilities Supplies, Emergency ",Waste Management
non_burn_technology,Is on-site treatment of infectious waste conducted using non-burn technology such as autoclaves and shredders?,"Facilities Supplies, Emergency ",Waste Management
fenced_lockable_waste_disposal_area,"Does this facility have a functional, fenced and lockable waste disposal area?","Facilities Supplies, Emergency ",Waste Management
incineratorAutowayPit,Does this facility have a functional incinerator/autoway pit?,"Facilities Supplies, Emergency ",Waste Management
incinerator,"Is on-site treatment of infectious waste conducted by high temperature incineration, & is incinerator operation & maintenance documented in logbooks?","Facilities Supplies, Emergency ",Waste Management
incineratorPollutionControl,Do the incinerators have air pollution-control devices?,"Facilities Supplies, Emergency ",Waste Management
IncineratorSecure,Is the incinerator secure?,"Facilities Supplies, Emergency ",Waste Management
wastetemporaryStorage,"Is infectious waste temporarily stored in a secure area, protected from the weather, with offsite treatment done by contractor with close supervision?","Facilities Supplies, Emergency ",Waste Management
wasteContainersAtBed,Is there a complete set of segregated waste containers at each bed?,"Facilities Supplies, Emergency ",Waste Management
medicineDispensingComment,Give a comment to this Section,"Facilities Supplies, Emergency ",Waste Management
staffabletoExplainEmergencyProcedures,Are staff able to explain the correct procedures to follow if there was an accidental needle stick/ cut/splash/exposure to blood? (verify the answer).,"Facilities Supplies, Emergency ",Emergency Management
staffKnowledgeonReportingStructure,Are staff able to correctly identify who to report to? (Reviewer should verify that the answer is correct).,"Facilities Supplies, Emergency ",Emergency Management
staffPEPeligibility,Are staff able to correctly identify where to get an evaluation for PEP eligibility? (verify with site leadership that the answer is correct).,"Facilities Supplies, Emergency ",Emergency Management
staffPEPTimeframe,Are staff able to correctly explain the time frame in which an exposed person needs to start PEP? (within 72 hours and includes HIV testing).,"Facilities Supplies, Emergency ",Emergency Management
siteType,Is this a fixed site?,"Facilities Supplies, Emergency ",Emergency Management
pepMedicinesAvailability,Are PEP medicines available and accessible on-site? (Reviewer should observe and verify).,"Facilities Supplies, Emergency ",Emergency Management
packsKitsAvailable,Are PEP starter packs/kits available and accessible for use (often found in the jump bag)? (Reviewer should observe and verify).,"Facilities Supplies, Emergency ",Emergency Management
traininingEmergencyProcedures,"In the last 12 months, has any training in emergency procedures including anaphylaxis management and resuscitation been conducted?","Facilities Supplies, Emergency ",Emergency Management
followuptoEmergencyYes,"If YES, in the past 12 months have ALL clinical staff been trained in these emergency procedures?","Facilities Supplies, Emergency ",Emergency Management
trainingonAdrenaline,Have staff been trained to deliver adrenaline for anaphylaxis in the past 12 months?,"Facilities Supplies, Emergency ",Emergency Management
clinicalStaffTraining,"If YES, have at least 50% of clinical staff been trained in the past 12 months?","Facilities Supplies, Emergency ",Emergency Management
emergencyMaterialsinStock,"Within the last 6 months, have all emergency materials and supplies been continuously in stock? (i.e., NO stock-outs).","Facilities Supplies, Emergency ",Emergency Management
emergencyCart,"Does the site have an emergency cart, tray or jump bag?.","Facilities Supplies, Emergency ",Emergency Management
emergencyCartYes,"If YES, it located in the procedure room when procedures are being done? (Reviewer should observe and verify).","Facilities Supplies, Emergency ",Emergency Management
emergencyCartStatus,"Are ALL of the emergency medicines in the cart, tray or jump bag unexpired? (Reviewer should observe and verify).","Facilities Supplies, Emergency ",Emergency Management
documentationStatus,Is there any documentation that any expired items were replaced?,"Facilities Supplies, Emergency ",Emergency Management
emergencySuppliesStatus,Are all these required emergency supplies available in the areas where VMMC surgery is provided at the site and not visibly broken?,"Facilities Supplies, Emergency ",Emergency Management
highlyRecommendedItems,"Are the following highly recommended items available at this site in the cart, tray, or jump bag?","Facilities Supplies, Emergency ",Emergency Management
emergencyManagementComment,"Overall Comment (Facilities Supplies, Equipment  and Emergency Management)","Facilities Supplies, Emergency ",Emergency Management
recordsSecure,"Are records kept in a safe, secure place?",Data Management & 2Wt,Client Record Review 
recordFilling,Are records properly filed?,Data Management & 2Wt,Client Record Review 
sampleCIFChecking,Are all selected CIF forms (sample of 25) filled-in completely. Check for the following:,Data Management & 2Wt,Client Record Review 
consentForms,Do all CIFs have valid consent Forms Attached,Data Management & 2Wt,Client Record Review 
meOverallComment,Give Comment to this Section,Data Management & 2Wt,Client Record Review 
enrollmentRate2WT,"Enrollment Rate: Is the percentage of eligible clients enrolled in two-way texting ,50% or higher?",Data Management & 2Wt,Two Way Texting
demographicAnalysis2WT,Demographic Analysis: Are there specific demographics (such as age or location) that show lower enrollment in two-way texting?,Data Management & 2Wt,Two Way Texting
optOurRate2WT,Opt-Out Rate: Is the opt-out rate from enrollment higher than 50%?,Data Management & 2Wt,Two Way Texting
clientSatisfaction2WT,Client Satisfaction: Do clients report high satisfaction levels with the two-way texting service?,Data Management & 2Wt,Two Way Texting
adverseEvents2WT,Has the site had any reportable adverse events referred from 2wt,Data Management & 2Wt,Two Way Texting
dataAccuracy2WT,Data Accuracy: Is client data from the two-way texting system accurately recorded in M&E tools ?,Data Management & 2Wt,Two Way Texting
staffTraining2WT,"Staff Training: Are staff adequately trained in client enrollment, counseling, and task updates related to two-way texting?",Data Management & 2Wt,Two Way Texting
clientConcerns2WT,Is there a system in place to address client questions and concerns received via text promptly?,Data Management & 2Wt,Two Way Texting
referralDocumentation,Is there documentation of complete Referral and Linkages of VMMC clients to Other services,Data Management & 2Wt,Two Way Texting
ehrUsage,Is the site entering VMMC data into the Electronic Health Record System (EHR),Data Management & 2Wt,EHR
ehrEnrollmentRate,"Enrollment Rate: Is the percentage of  clients enrolled into E'HR, 50% or higher?",Data Management & 2Wt,EHR
twoWayComment,"Overall Comment (Data Management , 2WT  and EHR)",Data Management & 2Wt,Two Way Texting
activeMobilisers,Does the site have active and consistent mobilizers,Demand Creation,Human Resources
inactiveMobilisers,Does the site have of infrequently active but productive mobilizers,Demand Creation,Human Resources
introductionDC,Introduction,Demand Creation,Observed Demand Creation Session
contentRelevance,Relevance of content,Demand Creation,Observed Demand Creation Session
intergrationOfKeyHIVPreventionMsgs,"Integration of key HIV  prevention messages (i.e., combination prevention)",Demand Creation,Observed Demand Creation Session
intergrationOfOtherHealthMsgs,"Integration of other relevant health messages (e.g., ASRH, drug abuse, etc)",Demand Creation,Observed Demand Creation Session
contentAccuracy,Accuracy of content,Demand Creation,Observed Demand Creation Session
abilitytoWindupSession,Ability to wind up session with call to action,Demand Creation,Observed Demand Creation Session
consentFormsDC,Were Consent forms given out ?,Demand Creation,Observed Demand Creation Session
sessionDurationDC,Was  the duration of session appropriate and enough,Demand Creation,Observed Demand Creation Session
workplanDC,Is weekly workplan  available?,Demand Creation,DC Work Plan
dcPlanObjectives,Are there written/displayed  broad objectives on  the DC  plan?,Demand Creation,DC Work Plan
posters,Are  VMMC posters available on site ,Demand Creation,Programme Visibility
iecMaterial,Are Other IEC materials available on site,Demand Creation,Programme Visibility
age15-24dcStrategy,Does the site has innovative DC strategies for 15- 24 year age group,Demand Creation,DC Strategies
age25-24dcStrategy,Does the site has innovative DC strategies for 25-34 year age group,Demand Creation,DC Strategies
dcComment,Give a comment to this  section,Demand Creation,DC Strategies
dcTargetPopulation,Select Population Groups that are targeted by the DC Team,Demand Creation,Undersaved Populations & Community Involvement
copy-1-of-dcTargetPopulation,Select MOHCC Cadres that are involved in Demand Creation ,Demand Creation,Undersaved Populations & Community Involvement
dcCommunityCadres,Select Infuential Community Cadres that are involved in Demand Creation,Demand Creation,Undersaved Populations & Community Involvement
dcInnovation,Any DC  innovations introduced/implemented by the site  DC in the last 6 months?,Demand Creation,Undersaved Populations & Community Involvement
give_overall_comment_demand_creation,Give Overall Comment (Demand Creation),Demand Creation,Undersaved Populations & Community Involvement
patientRights,Patient Rights – Is this document posted for patients to see?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
patientRightFollowUp,"If YES, is it in the local language?","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
staffJobDescription,Staff Job Descriptions – Are they available on site? (Confirm with HR),"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
wasteDisposalSOP,Are guidelines or SOPs on waste disposal on site? This includes disposal of biohazardous and non-biohazardous waste and disposable instruments.,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
vmmcSurgicalManual,VMMC Surgical Manual – Is this available on site? ( WHO or current Surgical manual),"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
writtenGuidance,"Is there written guidance available at the site on properly obtaining informed consent for circumcision (e.g. SOP, counseling guidelines)?","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
aeSOP,"Is a written SOP for classifying, documenting & managing AEs,  in the VMMC and clinical area available?","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
medicalEmergencySOP,"Guidelines or Protocols for Medical Emergencies (anaphylaxis, etc.) – Are these available on site?","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
aeReviewMinutes,Minutes from a site-level AE review committee reflect that all moderate/severe AEs are reviewed at least monthly & the corrective actions taken?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
postOperativeCareGuidelines,Immediate Post-Operative Care – Are these guidelines available on site? (These may be within the surgical manual).,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
postOperativeFollowUpProtocol,Post-Operative (return visit) Follow-up Protocol – Are these guidelines available on site? (These may be within the surgical manual).,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
postOperativeWrittenInstructions,Post-Operative Written Instructions – Are these available for clients on site?.,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
cifAvailability,Client Intake Forms – Are blank (unused) VMMC client intake forms available on site? (current version ),"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
clientRegisterAvailability,Client  Register – Is this available on site? (current version),"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
saeReportingForm,SAE Reporting Form- Is this available on site,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
aeRegister,Adverse Event Register– Is this available on site?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
aeRegisterClientCapturing,"If YES, does the AE register indicate which clients were referred for AEs?","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
aeDocumentation.1,"If YES, are the outcomes documented? (Reviewer should verify the documentation of the resolution of an AE).","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
qualityImprovementMinutes,Minutes from Quality Improvement Team Meetings - Are these available on site?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
referralLinkageForms,Referral and linkage to care forms are available?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
htsCounselingSOP,"Is there written guidance available at the site on properly obtaining informed consent for HTS (e.g. SOP, counseling guidelines)?","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
htsCounselingSOPFollowUp,"Does the information cover basic facts, benefits of testing, meaning of results, post test services","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
pretestInformationRelevance,Is the pretest information relevant to the services required?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
spaceforPostTestingCounselling,Is there space for confidential post test counselling?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
condomsAvailability,Are condoms available (both male and female) and distributed to clients?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
condomInsertionModels,Are condom insertion demonstration models available?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
condomDemo,Is condom insertion demonstration being done?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
postCouncellingCoverageonHTSLinkages,"Does post test counselling cover risk assessment, risk reduction, linkages for treatment and HIV Prevention?","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
htsQualityAssurance,"SOPs, Guidelines, Policies and Job Aids - HIV Testing Quality Assurance","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
internalControls,"Are internal controls run according to standard -before testing clients, when opening new kit and on receipt of new batch)? - Check in HTS Register","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
htsStaffRefresherTraining,Do staff conducting HIV testing participate in annual hands-on refresher training with a practical competency component 1?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
dataCollectionToolsCurrentVersion,Are the current versions of all relevant data collection tools available - check for completeness and completeness,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
referralTrackingStandards,"Are there standard tools to track referrals made to high-impact services & whether the client received those services? (e.g. STI, TB, HIV C & T etc.)","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
stiRegister,Is there current STI Register?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
registerCompletion,Are all the fields in the register being completed?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
condomsAvailabilitySOP,Are condoms available (both male and female) and distributed to clients?,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
adequateStaff,Is there an adequate number of full-time staff for task (some staff may be filling multiple roles but only count each staff member one time).,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
copy-1-of-adequateStaff,Is there an adequate number of full-time staff for task (some staff may be filling multiple roles but only count each staff member one time).,"SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
SOPOverallComment,"Overall Comment ( SOPs , Guidelines , Policies)","SOPs,Guidelines, Policies","SOPs,Guidelines, Policies"
directObservationofCounselorsonCommunication,"Through direct observation (optimal) or interviews with counselors, determine whether the following information is presented.",Communication,Pre -Op Group Counselling
separtionofClientByAge,Was there separation of clients into different age groups?,Communication,Pre -Op Group Counselling
actualObservedSession,Reviewer observed actual (not simulated) session,Communication,Pre -Op Group Counselling
counsellingSpacePrivacyPreOp,Education and counseling space is conducive and allows for privacy,Communication,Pre -Op Group Counselling
sessionNotInterruptedPreOp,Counselor is able to conduct session without outside interruption,Communication,Pre -Op Group Counselling
appropriateGroupAssembling,Group sessions assembled in appropriate age range with age appropriate content,Communication,Pre -Op Group Counselling
counselorAudible,Counselor can be easily seen and heard by all participants,Communication,Pre -Op Group Counselling
clearPresentationofInformation,"Counselor presents information in clear, simple terms",Communication,Pre -Op Group Counselling
counsolorManagementofGroupDynamics,Counselor manages group dynamics effectively,Communication,Pre -Op Group Counselling
encouragementofQuestionsandClientParticipation,Counselor encourages questions and client participation,Communication,Pre -Op Group Counselling
councelorChecksforUnderstanding,Counselor checks for understanding throughout session,Communication,Pre -Op Group Counselling
councelorTreatmentofClients,Counselor treats clients with respect and without judgment,Communication,Pre -Op Group Counselling
clientsAssuredofConfidentiality,Clients assured of confidentiality,Communication,Pre -Op Group Counselling
easyObservationOfProps,"All participants can easily observe job-aids, demonstrations, or other props",Communication,Pre -Op Group Counselling
condomDemoMale,Condom use is properly demonstrated (male),Communication,Pre -Op Group Counselling
condomDemoFemale,Condom use is properly demonstrated (female),Communication,Pre -Op Group Counselling
Pre-OPGroupCommunicationComment,Give a comment to this Section,Communication,Pre -Op Group Counselling
elicitationofClientAge,Age of client,Communication,Individual Counseling
contentTailoredByAge,Session content is tailored to age of client,Communication,Individual Counseling
easyObservationofPropsInd,"Client can easily observe job-aids, demonstrations, or other props",Communication,Individual Counseling
clientAssuredConfidentialityInd,Client assured of confidentiality,Communication,Individual Counseling
counselorChecksUnderstandingInd,Counselor checks for understanding throughout session,Communication,Individual Counseling
clientTreatmentInd,Counselor treats client with respect and without judgment,Communication,Individual Counseling
clientsParticipationEncouragementInd,Counselor encourages questions and client participation,Communication,Individual Counseling
informationClearInd,"Counselor presents information in clear, simple terms",Communication,Individual Counseling
counselorAudibleInd,Counselor can be heard by client,Communication,Individual Counseling
sessionNotInterruptedInd,Counselor is able to conduct session without outside interruption,Communication,Individual Counseling
counsellingSpacePrivacyInd,Education and counseling space is conducive and allows for privacy,Communication,Individual Counseling
probingofSRHIssues,Counsellor probes on SRH issues to comeup with client specific messages and inteventions,Communication,Individual Counseling
probingofSocialCircumstances,Counsellor probes on social circumstances surrounding the client  to establish  mental status and risk of infection,Communication,Individual Counseling
probingofMentalStatus,Counsellor probes to establish mental health status of client and reasons for seeking MC esp above 40 clients.,Communication,Individual Counseling
reviewOfActualSession,Reviewer observed actual (not simulated) session,Communication,Individual Counseling
condomDemoInd,Condom use is properly demonstrated (male),Communication,Individual Counseling
condomDemoFemaleInd,Condom use is properly demonstrated (Female),Communication,Individual Counseling
IndividualCounsellingComment,Give a comment to this Section,Communication,Individual Counseling
communicationtoClients,Communication to Clients - Information-Group,Communication,Information
explanationofHIVandAIDSriskReduction,Counselor explained HIV and AIDS risk reduction,Communication,Information
explanationofBasicHIVfacts,Counselor explained basic facts on HIV and AIDS,Communication,Information
mcPartialProtectiononHIV,Explained that MC only provides partial protection against acquiring HIV infection,Communication,Information
condomUseExplanation,Explained condom use and other HIV risk reduction measures are still necessary after MC to protect self and partner,Communication,Information
sexAbstinenceVMMChealing,Put emphasis on need for six week abstinence period during VMMC healing,Communication,Information
abstinenceRecommendations,Gave recommendations to improve compliance with abstinence,Communication,Information
explanationofMCMethods,Described MC options for eligible clients (where both standard surgery or device are available),Communication,Information
htsandSTIServicesonVMMC,Provider explained that HIV testing and STI screening are part of MC services,Communication,Information
importanceofHTS,Explained that HIV testing is important and remains optional for MC services,Communication,Information
mcofHIVPosClients,"Explained that HIV+ clients can be circumcised, but MC does not reduce the risk of HIV transmission to partner(s)",Communication,Information
accurateInformationProvided,Counselor provided accurate information throughout,Communication,Information
InformationCommunicationComment,Give a comment to this Section,Communication,Information
explanationofHIVandAIDSriskReductionInd,Counselor explained HIV and AIDS risk reduction,Communication, Information (Individual)
explanationofBasicHIVfactsInd,Counselor explained basic facts on HIV and AIDS,Communication, Information (Individual)
mcPartialProtectiononHIVInd,Explained that MC only provides partial protection against acquiring HIV infection,Communication, Information (Individual)
condomUseExplanationInd,Explained condom use and other HIV risk reduction measures are still necessary after MC to protect self and partner,Communication, Information (Individual)
sexAbstinenceVMMChealingInd,Put emphasis on need for six week abstinence period during VMMC healing,Communication, Information (Individual)
abstinenceRecommendationsInd,Gave recommendations to improve compliance with abstinence,Communication, Information (Individual)
explanationofMCMethodsInd,Described MC options for eligible clients (where both standard surgery or device are available),Communication, Information (Individual)
htsandSTIServicesonVMMCInd,Provider explained that HIV testing and STI screening are part of MC services,Communication, Information (Individual)
importanceofHTSInd,Explained that HIV testing is important and remains optional for MC services,Communication, Information (Individual)
mcofHIVPosClientsInd,"Explained that HIV+ clients can be circumcised, but MC does not reduce the risk of HIV transmission to partner(s)",Communication, Information (Individual)
accurateInformationProvidedInd,Counselor provided accurate information throughout,Communication, Information (Individual)
IndividualInformationComment,Give a comment to this Section,Communication, Information (Individual)
ageofClienthts,Age of client,Communication,HIV Testing and Counseling
htsScrrenToolUsage,Counselor uses HIV screening tool to assess HIV risk as part of targeted testing,Communication,HIV Testing and Counseling
clientHIVRisk,Is the client at risk of HIV and requiring HIV testing,Communication,HIV Testing and Counseling
